huka,expediture_type,fc3,doc_type,total_forecasted_value,total_forecasted_value_no_resid,actual_2023,actual_2024,actual_2025
4060,10,1701,RV,478402.5548896273,426485.2419013461,1242747.94,653544.63,358619.99
4060,20,800,DG,0.0,0.0,-131487.4,0.0,0.0
4060,20,800,RV,0.0,0.0,-47414.91,0.0,0.0
4271,10,1106,RV,88173946.87515637,86656610.431797,53480360.36,85793478.57000001,90016196.8
4271,10,1106,SA,0.0,0.0,42215.34,0.0,0.0
5270,10,800,RV,13565110.508777384,13565110.508777384,37589883.67,9787565.76,20430783.71
5270,10,1100,RV,47498.039999999986,0.0,0.0,83461.01,11535.07
5270,10,1101,DR,26950669.169135913,26950669.169135917,126062669.22,38079535.36,1003971413.4
5270,10,1300,DG,-277385541.4,0.0,0.0,0.0,-277385541.4
5270,10,1300,DR,277385541.4,0.0,0.0,0.0,277385541.4
5270,10,1300,RV,941283.0700000002,0.0,0.0,0.0,1882566.14
5270,10,2200,RV,56180119.49488125,56180119.49488125,45570741.17,18660413.759999998,54489157.59
5300,10,1100,DG,-50000.0,0.0,0.0,0.0,-50000.0
5300,10,1100,RV,62975696.02595511,62975696.02595511,47141096.3,51434570.7,39188966.0
6200,10,203,ZK,1000.0000000000001,0.0,0.0,1000.0,0.0
6270,10,1500,RV,2151075.0,0.0,0.0,2742150.0,1560000.0
6270,10,1600,RV,1000000.0000000001,0.0,0.0,0.0,1000000.0
7000,10,102,RV,0.4316594025751788,0.4316594025751788,2007.0,13540.0,6651.0
7000,10,200,DR,38.20045978619639,38.20045978619639,0.0,311.64,0.0
7000,10,300,RV,506807.49999999994,0.0,3012028.0,0.0,1013615.0
7000,10,600,DR,128657.33139536934,128657.33139536929,89412.28,0.0,0.0
7000,10,600,RV,92566.2175583601,92566.21755836016,3852337.75,9660733.280000001,553287.7
7000,10,800,RV,224443.19000000006,0.0,1223119.4200000002,224443.19,0.0
7000,10,1102,RV,6429789.739999999,0.0,5726327.32,6429789.74,0.0
7000,10,1200,RV,399993.782807788,399993.782807788,1000000.0,800000.0,500000.0
7000,10,1200,SA,-300000.0,0.0,0.0,0.0,-300000.0
7000,10,1701,RV,1604168.2948692415,1316314.8916724825,1466501.34,2120722.33,493306.62
7000,10,1703,DR,8.173826985124787,8.173826985124787,26.48,42.0,225.0
7000,10,1703,SA,936.4199999999997,0.0,0.0,936.42,0.0
7000,10,1900,RV,72846.16902466392,1147.6250791142902,5393.69,996.0,11565.0
7000,10,1903,RV,0.0,0.0,148202.2,0.0,0.0
7000,10,2001,DR,14.69151595035433,14.69151595035433,58097.0,0.0,0.0
7000,10,2001,KG,3.744453445773206,3.744453445773206,80.28,67311.6,0.0
7000,45,500,RV,21124.5,0.0,0.0,21124.5,0.0
7000,45,1100,RV,24999.999999999996,0.0,0.0,0.0,50000.0
7000,45,1106,RV,1800000.0,0.0,0.0,0.0,1800000.0
7000,45,1704,RV,61890.678551689794,61890.678551689794,63000.0,0.0,63000.0
7000,45,2001,RV,284254.18453156133,284254.18453156133,740865.03,1027010.49,541293.23
7080,10,900,RV,80097.36,0.0,0.0,0.0,160194.72
7080,10,1703,ZW,4636.363898657606,4636.363898657606,4539.91,2709.9300000000003,3649.96
7240,10,802,RV,63361.619735063774,63361.61973506377,403200.0,180600.0,431438.28
7241,10,1704,DR,0.0,0.0,456.83,0.0,0.0
7260,10,500,RV,710129.2799999998,0.0,0.0,0.0,710129.28
7260,10,600,RV,1910104.9473668393,1459737.835184222,8537369.13,3842942.12,1807868.33
7260,10,700,RV,70055.49894057306,70055.49894057306,292427.5,353162.04,1013668.74
7260,10,800,RV,19596.445000000007,0.0,199678.18,-27898.179999999993,67091.07
7260,10,1701,RV,847.9999999999999,0.0,0.0,0.0,199192.76
7260,20,600,RV,0.0,0.0,-16703.0,0.0,0.0
7260,20,1900,RV,0.0,0.0,337241.64,0.0,0.0
7260,20,2001,RV,2147.465,0.0,118135.0,0.0,4294.93
8131,10,1701,RV,1894135.1075779237,266179.44449198607,3334410.5500000003,7124314.79,2408872.8499999996
8131,10,2200,RV,0.0,13200352.594176207,17505655.42,38136616.66,11602709.25
8272,10,1701,DG,-5660929.42,0.0,0.0,0.0,-5660929.42
8272,10,1701,DR,2830464.7099999995,0.0,0.0,0.0,5660929.42
8272,10,1701,RV,2994199.121301825,12074192.121301826,36051327.06,48724693.66,28894048.59
8272,10,1701,SA,0.0,0.0,-42215.34,0.0,0.0
8290,10,1901,RV,418593.6803444832,29569.965004702397,140659.0,445424.99,749844.0
8290,10,1901,ZW,38263.282757369925,38263.282757369925,58840.58,55513.99,52132.5
8990,10,2200,KG,14239.974999433976,14239.97499943398,9829.54,84364.8,43314.56
8990,10,2200,KR,0.0,0.0,0.0,-52140.12,0.0
8990,10,2200,SA,1236254.5350526692,1236254.5350526692,1755149.76,3000596.31,2918182.01
