huka,expediture_type,fc3,doc_type,total_forecasted_value,total_forecasted_value_no_resid,actual_2023,actual_2024,actual_2025
4030,10,300,RV,467010.84619520087,27735.135013560233,27720.0,0.0,0.0
4030,10,1701,RV,602180.3284604747,583582.9527585704,2500048.95,3038175.57,2315348.87
4040,10,201,RV,11922852.024355453,11922852.024355454,11465154.02,4491205.7,9573446.81
4040,10,1600,RV,6918912.41,0.0,0.0,0.0,13837824.82
4040,10,1900,RV,366241.96885414905,366241.9688541491,201342.72,75355.8,190129.37
4060,10,1701,RV,1530881.2558268271,1550499.6508463584,2004610.1099999999,2194587.81,2658221.16
4060,20,300,RV,4289021.642048024,4497605.570766257,4098208.0,2373501.0,1782414.0
4060,20,300,ZJ,81103.48390762767,81103.48390762767,3621400.24,102047.0,484163.0
4060,20,800,RV,1102514.2899785002,22303.23529100009,831476.0,548375.0,13600.0
4060,20,800,ZJ,524999.4999999999,0.0,206000.0,500000.0,549999.0
4060,20,803,ZJ,5000000.0,0.0,5000000.0,5000000.0,0.0
4060,20,1709,RV,12861.69219634982,12861.69219634982,2815019.29,0.0,0.0
4270,10,300,RV,7778.566646617837,7778.566646617837,58798.1,25893.04,7721.3
4270,10,500,RV,7551.670413806719,7551.670413806718,11527.61,8279.5,6468.3099999999995
4270,10,600,RV,180833.40168622456,180833.40168622453,205696.34,160790.05,185160.02
4270,10,700,RV,19474.153010667545,19474.153010667545,13800.48,18368.53,13271.89
4270,10,800,RV,7832.820859026716,7832.820859026716,58366.74,47633.67,25371.8
4271,10,1106,RV,43297.4748552402,43297.4748552402,3500520.0,360000.0,9925000.0
4271,20,101,RV,102105.99999999999,0.0,0.0,0.0,102106.0
4271,20,1600,RV,0.0,0.0,182301.0,0.0,0.0
4272,20,1707,RV,0.0,0.0,188653.0,0.0,0.0
5270,10,800,KG,0.0,0.0,72202.0,0.0,0.0
5270,10,800,RV,4107291.588161004,-102899.55386517942,1456939.7200000002,430010.27999999997,11277486.86
5270,10,1100,DR,532.2500000000001,0.0,0.0,207.9,89.1
5270,10,1100,KG,10502.642887353219,10502.64288735322,1377.55,3652.9,6666.24
5270,10,1100,RV,4678406.332577099,4678406.332577099,0.0,10953759.0,6576698.0
5270,10,1100,SA,0.0,0.0,453734.0,0.0,-110.7
5270,10,1101,DR,2753946092.8342185,2753946092.834219,1582291233.73,2011889835.27,3024239964.92
5270,10,1300,KG,0.0,0.0,35000.0,0.0,0.0
5270,10,1300,RV,26268.819799225894,26268.8197992259,1530707.64,0.0,0.0
5270,10,1705,RV,2.9909801314719687e-07,2.9909801314719687e-07,384055.0,55555.0,55555.0
5270,10,2000,SA,0.0,-0.26252198216238654,1720.33,548.46,0.0
